Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Project Manager,$117K-$122K (Glassdoor est.),"Our project managers sell, estimate, schedule, manage and oversee all aspects of their own construction projects. If you thrive in an entrepreneurial environment this role is for you. You will be responsible for building and mentoring your team of Assistant Project Managers, Project Engineers and Project Coordinators. You will establish your own book of business while forging relationships with clients, architects, construction managers, brokers, property managers and subcontractors. You will be expected to attend client presentations, networking events and industry functions as a representative of the company.

General Overview of Duties & Responsibilities:
· Sell, estimate, schedule, manage and oversee all aspects of own construction projects
· Establish own book of business while forging relations with clients, architects, construction managers, brokers, property managers and subcontractors
· Building and mentoring the team of Assistant Project Managers, Project Engineers, and Project Coordinators
· Attends client presentations, networking events and industry functions as a representative of the company

Specific Duties & Responsibilities
· Prepare bids, budgets and respond to formal RFPs
· Participate in interviews to secure new work
· Lead pricing, value engineering, site selection investigations and building assessments
· Develop site logistics plans
· Create detailed project schedules in conjunction with superintendents
· Serve as the client point of contact
· Establishing and maintaining client, subcontractor and industry relationships
· Oversee procurement, cost and change management during project
· Lead weekly project meetings with client and subcontractors
· Manage punch list and oversee project closeout
· Manage all aspects of project accounting, financial projections and reporting, and AR collections

Experience & Education
· 3-5 years of construction experience including supervising/managing Project Superintendents and Project Staff
· Experience managing medium to large, complex and/or multiple jobs at one time
· Graduation from an accredited four-year college or university with major coursework in Construction Management, Engineering, Architecture or a related field preferred.
· LEED accreditation preferred
Knowledge, Skills & Abilities
· Development of client relationships, sales/business development for new opportunities
· Mentor colleagues and participate in annual staff reviews
· Proficient in Microsoft Project, Prolog, Timberline, PlanGrid and BlueBeam
· Strong Project estimating and scheduling skills
· Excellent written and oral communicator",4.4,"Skyline Construction
4.4","Seattle, WA","San Francisco, CA",51 to 200 employees,1996,Company - Private,Construction,"Construction, Repair & Maintenance",$100 to $500 million (USD),"NOVO Construction, BCCI, GCI General Contractors"
Project Manager,$117K-$122K (Glassdoor est.),"Project Manager – Capital Projects - Design& Construction

Reports to: Senior Project Manager

Classification: Salary, Exempt

Location: Seattle, WA

Company

Pacific Project Management is a service& client centered project management company.We manage real estate projects from conception to completion serving as the client’s representative, helping manage their design and construction initiatives in a variety of market sectors.

Our core values are:Service, Trust, Integrity, Honesty& Leadership.We believe in team and a collaborative environment.Each position we hire for will be part of this growing company and have a direct impact on the future of our success.We hireGreat People for Great Clients.

Job Summary:

The Project Manager position manages and leads the coordination of activities of an internal team and vendor partners to provide complete support to the client for all project requests. A successful candidate has an ability to communicate clearly with all parties involved in a project, including key stakeholders, internal customers, team members and vendor partners and lead a project team around a common set of goals. This role requires the ability to demonstrate exceptional customer service, teamwork, and attention to detail in order to insure client satisfaction. Must be able to deal with conflicts while maintaining professionalism and focus on the project goals.

Team Summary: This role will report directly to the Senior Project Manager and service variable client accounts within the Greater Seattle.

KeyResponsibilities:

·Demonstrated experience of understanding client vision, goals and milestones to successfully develop project management plan for interior fit-outs, renovations, furniture and systems management and relocation/move projects

·Develop and lead a project team of key stakeholders, internal team members and vendor partners who meet the deliverables of theproject

·Responsible for developing and managing scope, schedule and budget for eachproject.

·Demonstrates ability to lead and coordinate the client, client’s consultants, design team, contractors and vendors for delivery of various projects

·Manages all facets of project management including design and test fit drawings, building and site requirements, schedule, procurement, quality& risk, and vendor performance for various projects

·Demonstrates capability to read, understand project documents including but not limited to: agreements/contracts, architectural and engineering drawings, building infrastructure, AV/IT, FF&E schedules, contractor and vendor proposals, and financial summaries

·Manage multiple projects simultaneously from inception to closeout

·Communicates directly with client to define project goals and provide reports on project status andvariances

·Lead timely communications with client project team and client stakeholders to understand project changes, transitions and anticipated conditions help manage expectations

·Identifies project resources from pre-qualified lists and conducts request for proposals; completes bid analysis forapproval

·Conduct onsite field audits before, during and after completion ofproject

·Develops and maintains complete knowledge of contractor, vendor service and material capabilities. Complete understanding of vendor processes anddeliverables

·Oversee the project administrative processes and maintain accurate project documentation files in a timelymanner

·Facilitates project meetings and insures that all meetings are accurately documented and distributed

·Track and manage project issues andresolutions

·Required to manage own projects while supervising directreports

·Role requires daily communication with client and team members. Must be able to exchange accurate information in thesesituations

·Must be able to review design plans and documents foraccuracy

·Will assist the company in growing accounts horizontally and vertically by outstanding projectdelivery,clientservice,processimprovementsandsupport

·

·Actively support the internal team that focuses on businessdevelopment

·Other duties asassigned

Experience/Training/Education/Certification:

·Bachelor's degree or advanced degree (BA/BS/M) in architecture, construction management, engineering, real estate or related industries preferred

·Minimum of five years of design and construction project management experience required.

·Preferred candidate will have experience with change management and relocation project management.

·Proficiency with MS Office Suite, MS Project, Bluebeam, OneNote. Experience with Quip, Sharepoint, Plangrid and other construction and facility management software(s) is a plus

Physical Requirements

·The person in this role needs to be able to occasionally life up to 25pounds

·Ability to travel between client and/or project sites up to 50% of time within the greater metropolitan area

·Must be able to safely access constructionsites

·Occasionally works in outdoor weatherconditions

EOE Statement

We are an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, disability status, protected veteran status or any other characteristic protected by law.",4.3,"Pacific Project Management
4.3","Seattle, WA","Seattle, WA",51 to 200 employees,2009,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,-1
Project Manager,$117K-$122K (Glassdoor est.),"We are looking for experienced Project Managers to join our Seattle and Portland teams.

Project Managers at Lewis are critical members of our commercial construction project teams. As a project manager, you will be responsible for project results through your accurate estimating and use of cost control and forecasting. Clear communication skills are a key success factor for our project managers. Our project managers are responsible for building and maintaining client relationships by sharing project status, managing client expectations and communicating changes to the project and field teams. Additionally, a collaborative, team-oriented approach and effective leadership behaviors are essential as you will be tasked with driving the overall project to successful completion.

As a project manager, you will wear many hats, managing and controlling projects in various stages of development. This will include reviewing and approving bids and budgets, organizing and training field and office staff to properly perform their duties, as well as initiating and supervising the production and maintenance of all construction schedules.

As an effective Project Manager, you will possess demonstrated experience leading and mentoring project teams and technical staff in project tasks. You will also lead project pursuits in partnership with marketing and participate in business development efforts.

As a qualified candidate, you will have a minimum of three years of general contracting project management experience, preferably on negotiated GMP commercial building projects. You will possess a Bachelor’s degree in Construction Management, Engineering or a related degree; as well as, experience within preconstruction planning in estimating, subcontractor bidding, and scheduling. Strong aptitude in Timberline, Primavera or MS Project, and/or Bluebeam will be essential to successfully execute this role.

If this position matches your experience and career goals, we look forward to hearing from you!",4.1,"Lease Crutcher Lewis
4.1","Seattle, WA","Seattle, WA",501 to 1000 employees,1886,Company - Private,Construction,"Construction, Repair & Maintenance",$500 million to $1 billion (USD),-1
Project Manager,$117K-$122K (Glassdoor est.),"R1 is a leading provider of technology-enabled revenue cycle management services which transform and solve challenges across health systems, hospitals and physician practices. Headquartered in Chicago, R1 is publicly-traded organization with employees throughout the US and international locations.

Our mission is to be the one trusted partner to manage revenue, so providers and patients can focus on what matters most. Our priority is to always do what is best for our clients, patient’s and each other. With our proven and scalable operating model, we complement a healthcare organization’s infrastructure, quickly driving sustainable improvements to net patient revenue and cash flows while reducing operating costs and enhancing the patient experience.

The Project Manager will be responsible for collaborating with various business units across the organization to ensure completeness and adherence to project plans, identify risk areas, and drive accountability amongst all stakeholders. The Project Manager coordinates and prioritizes project tasks, manages timelines, maintains project plans and communicates status to Business Owners, Senior Management and Customers as needed.

In this role, the successful candidate will be a highly motivated individual with an entrepreneurial spirit that is naturally curious and willing to do whatever it takes to achieve results. This is an exciting opportunity for anyone looking to deepen their existing talents and further develop new skillsets within the healthcare space.

Responsibilities:
Maintaining the online project portfolio management solution (Microsoft Project) to manage all projects related to our software development team
Collaboration with multiple business units to coordinate road map, confirm completeness of schedules/plans, and drive to completion all key milestones, and deliverables
Responsibility for providing Business Owners with updated project plans, which may include project schedules and communications documents, etc.
Developing and managing system wide dashboards, launch scorecards to track progress and identify opportunities to accelerate project timelines
Developing and executing recovery plans for any projects that are off schedule
Developing, documenting and ensuring adherence to standardized processes and project status reporting methodologies
Required Qualifications:
Bachelor’s degree or Associates degree is required
At least 3 years of project management experience, preferably gained in a project management, performance/continuous improvement or consulting role
Previous experience with Microsoft Project
Strong skills with MS Office suite including: Project, PowerPoint, Visio, Excel, Word
Strong motivation and a detail-orientated nature to be able to work and deliver results in a fast-paced environment
Ability to anticipate potential problem areas and strategically problem solve to mitigate risk exposure and ensure all deadlines are met
Ability to facilitate meetings and lead multiple groups to achieve common goal
Working in an evolving healthcare setting, we use our shared expertise to deliver innovative solutions. Our fast-growing team has opportunities to learn and grow through rewarding interactions, collaboration and the freedom to explore professional interests.

Our associates are given valuable opportunities to contribute, to innovate and create meaningful work that makes an impact in the communities we serve around the world. We also offer a culture of excellence that drives customer success and improves patient care. We believe in giving back to the community and offer a competitive benefits package. To learn more, visit: r1rcm.com.#LI-KT1

#GDKT1 #IDKTHI",2.8,"R1 RCM
2.8","Seattle, WA","Chicago, IL",10000+ employees,2003,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,"Optum360, Conifer Health Solutions, Parallon"
Project Manager,$117K-$122K (Glassdoor est.),"Service Communications Inc. (SCI) is an IT infrastructure solutions provider headquartered in Redmond, Washington, celebrating our 30th year in business. We provide, install, and support network infrastructure, telephony, AV equipment, and video wall systems for clients across North America and beyond.
Position Available: Project Manager
Location: Redmond, Washington
This position is a leadership role responsible for the entire life cycle of technology infrastructure projects.

Duties include:
Helping to identify and gather customer requirements
Aiding in the development of SCI response to customer issued RFQ/RFPs
Developing and managing the following:
Project Statement/Scope of Work
Project Schedule
Project Cost Workbook
Project Communication Plan
Technician Packets
Leading and managing teams that include Help Desk technicians, field technicians, Project Coordinators, subcontractors, suppliers, and customer vendors
Negotiating cost as well as obtaining and managing subcontractor resources
Monitoring and controlling project scope, schedule, and cost
Obtaining customer signoff, which includes all contract and change orders, and following up on deliverables
Completing all paperwork for billing preparation including original contract, change orders, and verification of all expenses and billable hours
Successful candidates will have:
At least 5 years of technology project management experience
Prior full cycle experience with national rollouts and Enterprise level customers
A strong desire to understand customer needs and deliver exceptional results
The ability to multi-task and work well under pressure
Excellent communication skills – internal and customer-facing, both written and verbal
The traits necessary to be a self-starter and a proactive team player
We are a company that prides itself on our standards, ethics, and complete dedication to our clients. We also understand that our company is built on the recognition and respect we give to our employees.
SCI offers competitive salaries, medical, dental and vision benefits, phone allowances, company vehicles (where applicable), and 401K packages. Successful candidates must pass pre-employment background check and drug testing.
Resumes: hr@servicecommunications.com",4.6,"Service Communications
4.6","Redmond, WA","Redmond, WA",51 to 200 employees,-1,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,$10 to $25 million (USD),-1
Project Manager II,$117K-$122K (Glassdoor est.),"Job Description:

Symetra is seeking to hire an amazing Project Manager to join our team!

About the role

As one of our Product Manager's here at Symetra you will be responsible for the initiation, planning and delivery of Division projects considered medium risk, typically under 12 months in duration and with budgets ranging from $100,000 - $1 million. Typically projects will have multiple customers/stakeholders across many departments and functions, a moderately sized project team (possibly in multiple locations), external partners or vendors, and a moderately complex technology component.

Your responsibilities
Ensure projects are delivered on time and within budget and deliver quality results that meet Customer expectations.
Develop project structure, detailed schedules, estimates, resource plans, and status reports. Assemble resources and manage the project team so that project objectives are delivered within time, scope, quality or budget constraints.
Clearly communicate project status and metrics with all Stakeholders affected by the project as well as Corporate Governance and the Executive Management team.
Actively manage risks, issues and concerns throughout the project life-cycle and employ effective change control processes.
Reviews project deliverables for accuracy and provides assistance and mentoring to others.
What we offer you

We don’t take a “one-size-fits-all” approach when it comes to our employees. Our programs are designed to make your life better—both at work and at home.
Flexible work and telecommute arrangements
Wellness program offering employees a variety of resources designed to assist you in reaching and maintaining your optimum health
Paid time away options to accommodate your needs and life’s events, including vacation (our favorite), illness, caring for a family member, volunteering, the birth or adoption of a child, the loss of a family member and more
Ongoing learning and skills development through our college tuition assistance, professional education certification programs and more
Plan for your future with our 401(k) plan and take advantage of immediate vesting and company matching up to 6%
Give back to your community and double your impact through our company matching and/or participate in our company-wide week of service each June
Want more details? Check out our Symetra Benefits Overview
Requirements:

Your education, experience and skills
Bachelor's Degree
Project Management Certificate preferred
Minimum years experience required: 3-5 years of business/industry work experience
5 years of leadership experience
5 years managing projects utilizing a formal project methodology, techniques and tools.
Demonstrated experience in teambuilding and leading teams.
Excellent communication skills, including verbal and oral, and has the ability to influence others to reach a successful conclusion.
Knowledge and expertise in the use of project management methodologies and tools, resource management practices and change management.
Demonstrated experience in creating and maintaining project deliverables such as project charter, project plan, status reports, project time sheets, estimates, communication plan, reports, risk management plan, budget, milestone/deliverables charts.
Demonstrated experience managing issues, scope, and quality while bringing projects to successful completion within cost and time requirements.
Demonstrated experience in teambuilding and leading teams.
Excellent communication skills, including verbal and oral, and has the ability to influence others to reach a successful conclusion.
Proficiency in the Microsoft Office product suite
In a complex industry, we strive for clarity.

Symetra is a dynamic and growing financial services company with 60 years of experience and customers nationwide. In our daily work delivering retirement, employee benefits, and life insurance products, we're guided by the principles of VALUE, TRANSPARENCY AND SUSTAINABILITY. That means we provide products and services people need at a competitive price, we communicate clearly and honestly so people understand what they're getting, and we build products that stand the test of time. We work hard and do what's right for our customers, communities and employees. Join our team and share in our success as we work toward becoming the next national player in our industry.

Learn more about our careers at www.symetra.com/careers

#LI-LL1",3.2,"Symetra
3.2","Bellevue, WA","Bellevue, WA",1001 to 5000 employees,2004,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),"MetLife, Voya Financial, Prudential"
Field Project Manager,$117K-$122K (Glassdoor est.),"RFI is looking for a Field Project Manager to join our team in Seattle!

Do you consider yourself:
• Assertive
• Resourceful
• Independent
• Self-starter
• Fast-paced
• Confident

If this sounds like you, RFI, one of the United States top 20 Security& Integration companies is looking for you.

As a Field Project Manager, your duties will include:
Plans, organizes, directs and controls project activities from start to finish. Manage and oversee a team of individuals with different trades. Also be able to estimate and price job change orders according to changing variables within the scope of our project. Be proactive and productive in management of electronic security installation projects for access control, video or fire/life/safety. In order to succeed within this position, the candidate should have exceptional communication, computer and problem-solving skills.

TYPICAL DUTIES INCLUDE:
Technical Acumen:
• Responsible for all work to be performed according to RFI standards and quality installation techniques as per the RFI “General Installation and Craftsmanship Standards and Practices” policy.
• Plans and schedules engineering, installation, and subcontracting activities on projects or service installed jobs.
• Maintains current job plans, specifications, and schedules.
• Pursues change order opportunities in a timely fashion.
• Monitors the performance and quality of the field and contract labor.
• Review processes and modify to improve efficiencies when possible.
• Maintain accurate project information with in RFI shared files and system.
• Maintain knowledge of current industry standards and emerging technologies.
• Maintain professional licensing as required by State and local jurisdictions.
• Ability to read and understand project specifications.
• Ability to generate project submittal packages.
• Ability to document as-built drawings (red-lines).
• Perform upgrades and additions to Security Systems in order to increase functionality.
• Evaluate, diagnose, troubleshoot and perform repairs as necessary.
• Install, maintain, or repair security systems, security devices, or related equipment, following blueprints of electrical layouts and building plans.
• All work is performed to RFI standards and quality techniques are practiced.
• Ability to solve practical problems and carry out responsibilities without supervision.
• Capacity to organize workload for effective implementation.
• Ability to assist Sales and Engineering in making sound decisions with project design and implementation necessary for accurate proposal bids.
• Ability to train others on troubleshooting methods
• Ability to lead a crew and organize workload to see projects to completion.
• Other duties deemed necessary.

Customer Service& Communications Skills:
• Keeps self, superiors and subordinates informed of project progress.
• Works with engineering department on design and drafting phases of jobs.
• Coordinates the procurement of materials, supplies and services and controls timely delivery to job site.
• Represent RFI in a business-like professional manner in both conduct and appearance, to maximize client satisfaction.
• Communicate effectively and in a timely manner to resolve RFI, client, or other inquiries and/or requests.
• Maintain communications with clients, sub-contractors, office staff/field personnel to include project completion, monitoring satisfaction, and to reduce customer complaints.
• Work with personnel on system startup to ensure complete system compliance.
• Must have excellent written and verbal communication skills in providing customers and Project Managers with detailed progress updates, delays/ impacts, safety concerns, and any other information that will aid in achieving a successful project outcome.

Safety& Accountability:
• Adherence to all RFI Safety Policies; Work at required heights utilizing ladders, scaffolding, lifts, or other.
• Participates in and may deliver safety training to direct reports.
• Consistently keeps work area clean and free of potential hazards.
• Work in confined spaces as necessary.
• Works with Project Manager to oversee the installation of multiple crews to ensure jobs are on track and within the project estimate and scope.
• Ability to complete work and solve problems in a timely manner.
• Work with Project Manager to ensure complete closeout and turnover of jobs to the client and service department.
• Work with Project Manager to ensure all jobs are maintaining budgets and timelines throughout all phases of project.
• Provide reports to management.
• Adhere to procedures and standards in system design for quality installations.
• Assists with inventory and inspection of assigned RFI assets.
• Recommend appropriate staffing levels for project teams and adjust in accordance with RFI policies and procedures.
• Provide reports to senior management to include but not limited to: job scheduling and staff performance.

Education, Work Experience and Requirements:
High school education, or equivalent and EL-06 license required. Bachelor’s degree in construction management, personnel management, and project management or related field preferred. Ideal candidates will have 5-10+ years of industry experience, excellent time management and organizational skills, maintain or working on CAPM and/or PMP certification, and be proficient (or able to quickly become proficient) in the following computer programs (Excel, Access, Word, Outlook, Power Point, CAD, Microsoft Project and Microsoft AX, among others). Excellent oral, written communication and customer service skills are essential. This position requires a valid driver’s license, clean driving record and insurance. Available to work outside of, or in addition to, normal businesses hours.

Physical Demands:
In general, the following physical demands are representative of those that must be met by an employee to successfully perform the essential functions of this job:
• Ability to lift occasionally and/or move up to 25 pounds.
• Specific vision abilities include close vision and color vision.
• Ability to effectively communicate, (i.e. see, hear, speak and write clearly) in order to communicate with employees and/or customers.
• Manual dexterity required for frequent reaching, climbing, and lifting of moderate objects, operation of power and manual tools/equipment, and operating office equipment.
• Ability to stand and work on a ladder; must have the ability to reach and work overhead.

Additional Performance Evaluation Criteria:
In addition to competence in performance of job duties as listed, the following are also considered in evaluating overall performance.
• Teamwork, positive attitude toward others, and overall contribution to the success of RFI.
• Professional growth, disposition and appearance.
• Support diverse and inclusive work environment.
• Protection of RFI confidentiality.
• Adherence to RFI policies and procedures, and to the instructions of the Operations Manager.
• Ability to understand and fill out required project paperwork and labeling.
• Ability to enter timesheet reporting information.
• And other duties as assigned.

What We Do:
RFI Enterprises, Inc. is a diversified multi-systems integrator that has been designing, installing, servicing and monitoring, technology-driven security and fire/life safety solutions for more than thirty years. Quality, value and innovation are the rock solid cornerstones of RFI. Since 1979, the company has been delivering integrated security and fire/life safety solutions throughout the Western United States. RFI maintains four regional offices located in Reno, Seattle, Sacramento, and San Jose.

Why Join Us?
• Competitive Salary
• Medical, Dental, Vision and Disability Plans
• Life Insurance
• Flexible Spending Accounts
• Medical Reimbursement Accounts with pre-paid debit cards
• Employee Assistance Program (EAP)
• Savings and Retirement
• 401(k) / Retirement Plan with Matching Program
• 529 for College Savings Plan
• Paid Vacation& Paid Holidays
In addition to all of the above benefits our employees enjoy
• Company Wellness& Rewards Program
• Student Loan Assistance Program
• Company Sponsored Training
• Employee Referral Program
• Tuition Reimbursement
• Professional Development Opportunities
• Employee Organized Events and Competitions

Equal Opportunity Employer
RFI Enterprises, Inc. is an equal opportunity employer and makes employment decisions on the basis of merit. Company policy prohibits unlawful discrimination based on race, color, religion, sex (including pregnancy, gender identity, and sexual orientation), parental status, national origin, age, disability, family medical history or genetic information, political affiliation, military service, or other non-merit based factors. It also prohibits unlawful discrimination based on the perception that anyone has any of those characteristics, or is associated with a person who has or is perceived as having any of those characteristics. The Company is committed to compliance with all applicable laws providing equal employment opportunities. This commitment applies to all persons involved in Company operations and prohibits unlawful discrimination by any employee of the Company, including supervisors and co-workers.

To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship would result. If you need an accommodation to complete the application process please contact the Human Resources Department at (408) 298-5400.",3.9,"RFI Communications & Security Systems
3.9","Renton, WA","San Jose, CA",51 to 200 employees,1979,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1
Creative Project Manager,$117K-$122K (Glassdoor est.),"Location:
Austin

Job Terms:
Temporary

Salary:
$35-37/hr

Start date:
Pending

Posted By:
Den Mondejar

Date:
05/13/2020

Job Description:

*Must have proof of eligibility to work in the US as W2 employee, sponsorship is not available.


Web QA Tester


$35-37/hr


Ongoing, as needed


Important: We are looking for a QA Tester to assess our client's web projects. This will be ongoing, as projects come through. There will be ebs and flows to the work. This is a W2 position, not 1099 or C2C.

You will be responsible for finding and reporting bugs and glitches. In this role, you should have a keen eye for detail and excellent communication skills. If you are also competent in executing test cases and are passionate about quality, we’d like to meet you. Ultimately, you will ensure that our client's products, applications and systems work correctly.

Responsibilities
Review and analyze specifications
Collaborate with team to develop effective strategies and test plans
Execute test cases (manual or automated) and analyze results
Evaluate product code according to specifications
Create logs to document testing phases and defects
Report bugs and errors to development teams
Help troubleshoot issues
Conduct post-release/ post-implementation testing
Work with cross-functional teams to ensure quality throughout the web development lifecycle
Requirements
Proven experience as a Web Quality Assurance Tester or similar role
Experience in project management
Familiarity with Agile frameworks and regression testing is a plus
Ability to document and troubleshoot errors
Excellent communication skills
Attention to detail
Analytical mind and problem-solving aptitude
Strong organizational skills",3.9,"Aquent
3.9","Seattle, WA","Boston, MA",1001 to 5000 employees,1986,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
Senior Project Manager,$117K-$122K (Glassdoor est.),"Ranked by FORTUNE magazine“100 Best Companies to Work For” and Civil Engineering News #1“Best Civil Engineering Companies to Work For,” Kimley-Horn prides itself on hiring high-achieving, dedicated, and reliable professionals. We have an exciting, challenging, and rewarding opportunity for a motivated Practice Builder/Project Manager to join our 100% employee-owned firm in our new Seattle, Washington office!

Our Practice Builders have an entrepreneurial spirit, creating a vision for their practice while facilitating the growth of our Seattle office. You will have the autonomy to shape your practice and to lead the business development efforts with local developers, public agencies and industry contacts while building and managing your relationship with these key clients. Markets are not limited by geography but driven by relationships. The primary responsibilities for this position will be to operate with integrity and sound business principals; providing practice vision, business planning and strategy; serve clients directly and deliver for clients; establishing goals; building and maintaining positive client relationships; having open communication with your partners and team; and growing and leading your public or private sector practice. As your team grows, you will also be provided the support of a national firm to build your team and practice to serve your clients.

The successful candidate will be given a great deal of autonomy to lead, direct, and grow their business. With success, this individual will enjoy the rewards of a competitive salary, impressive incentive-based bonus program, industry-leading retirement along with the potential to advance to ownership.

Requirements
Bachelor's Degree in Civil Engineering, Landscape Architecture or Planning
Professional Certification as a P.E., P.L.A, or AICP
Private sector-focused experience will have extensive client contacts and relationships with local or national architects, developers, land use attorneys, planners and/or landowners.
Public sector-focused will have active client contacts and relationships with local government agencies and municipalities in the Seattle Metro Area.
Ten or more years of diversified experience in growing and leading a public or private sector practice in the Seattle market
Business development and marketing experience including; writing proposals, scopes of work, and budgets for projected work
Strong desire and ability to be engaged with clients solving project problems and working with the team to deliver
Extensive hands-on knowledge and experience of design principals utilizing Civil3D or Microstation
Ability to effectively communicate positively at all levels of the organization.
Ability to manage and mentor staff and direct resources effectively in a positive manner.
Demonstrated ability to manage projects profitably.
Apply Now",3.7,"Kimley-Horn
3.7","Seattle, WA","Raleigh, NC",1001 to 5000 employees,1967,Company - Private,Architectural & Engineering Services,Business Services,$500 million to $1 billion (USD),-1
Project Manager - Marketing,$117K-$122K (Glassdoor est.),"Project Manager - Marketing

Seattle, WA

About the role. . .

This position will require the successful candidate to work with Product Managers to create and own Marketing services which are made available to a global marketing operations team. You will be working with the latest/greatest marketing tools while influencing and defining global marketing services.

About you…
You have experience in marketing and with marketing technologies
You have consulting/project management experience
You have experience with reporting and process documentation
You have experience with developing executive level content
You can interact with stakeholders from all levels of the organization and successfully influence
If you have…
3+ years combination of of project management/marketing experience (Preferably at a ""Big 4/8"" or similar consulting firm)
Solid hands-on experience in Marketing Tools (ex: Exactarget, sprinklr, tumblr)
Requirements gathering and documentation
Process documentation
Development of training and user guides
End user communications
Basic data analysis – ability to extract/manipulate data for reporting (excel skills, analyze data)
Microsoft experience strong plus
Strong organizational/project coordination skills
Ability to interface with stakeholders
Successful work driving change and project results within organizations containing ambiguity and changing requirements
Experience delivering projects and solving problems within mid to large size organization utilizing disparate tools and methodologies
Ability to drive, inspire and manage clients, management and project teams
Track record of recommending and implementing improvements to projects and process for clients
Exceptional written and verbal communication skills
About Logic20/20. . .

Logic20/20 is one of Seattle’s fastest growing full-service consulting firms. Our core competency is creating simplicity and efficiency in complex solutions. Although we make it look like magic, we succeed by combining methodical and structured approaches with our substantial experience to design elegant solutions for even the most intricate challenges. Our rapid growth is in response to our ability to deliver consistently for our clients, which is directly related to the quality of the people we hire.

The past four years, we’ve been in the top 10 “Best Companies to Work For” ….. why? Our team members are highly self-motivated, comfortable conceiving strategies on the fly, and enjoy working both individually and as part of a team. Our environment is very high-energy and demanding, and individuals with remarkable enthusiasm and a can-do attitude are joining our team. We have lots of fun, focus on our employees and our clients, and work to bring our best to every opportunity.",3.5,"Logic20/20
3.5","Seattle, WA","Seattle, WA",201 to 500 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1
